行番号,会社名,問い合わせフォームURL,備考
1045,ぐんまフラワーパークJV,http://www.flower-park.jp/contact/,取材向けは /contact/form-pr/。メール master@flower-park.jp
1046,インターウォーズ株式会社,https://www.interwoos.com/contact/,TEL 03-3543-7800
1047,株式会社ステディスタディ,https://www.steady-study.co.jp/contact/,メール contact@steady-study.co.jp
1048,袖ケ浦市,https://www.city.sodegaura.lg.jp/form/detail.php,
1049,静岡県,https://www.pref.shizuoka.jp/kensei/pr/hiroba/1007313.html,県庁への各種お問い合わせ案内(電子申請サービス)
1050,株式会社ランドネット,https://landnet.co.jp/general-contact/,メール info@landnet.co.jp
1051,株式会社セブンハンドレッド,https://www.700c.jp/contact/,メール entry@700c.jp
1052,西宮北口歯科,,フォームURL確認できず(予約はネット予約)。TEL 0798-65-1971
1053,キュレーションズ株式会社,https://www.curations.jp/contact,メール pr@curations.jp
1054,株式会社ZEN PLACE,https://corporate.zenplace.co.jp/,法人採用 saiyou@zenplace.co.jp/管理本部 TEL 03-6409-6500。専用フォームURL未確認
1055,株式会社住地ゴルフ,https://www.juchi.co.jp/contact/,メール info@juchi.jp / TEL 0120-18-0072
1056,ニッコー・ホテルズ・インターナショナル,https://www.okura-nikko.com/ja/contact-us/comments/,ご要望・ご意見フォーム
1057,学校法人立志舎,https://all-japan.ac.jp/form/contact/,
1058,hotel MONday Group,https://hotel-monday.com/contact/,メール rsv@jhat-m.com
1059,矢巾町役場,https://www.town.yahaba.iwate.jp/form/52,矢巾町へのお問い合わせフォーム
1060,江ノ島電鉄株式会社,,本体サイトのフォームURL確認できず(子会社enoden-net.comにはフォームあり)。本社TEL経由
1061,株式会社Hajimari,https://hajimari.inc/contact,メール contact@hajimari.inc
1062,株式会社エス・デー(トリックアート),https://www.trickart.co.jp/contact,メール trickart-info@trickart.co.jp
1063,株式会社ドリコム,https://drecom.co.jp/contact/form/,サービスに関する問い合わせフォーム
1064,株式会社スタメン,https://stmn.co.jp/contact,メール info@stmn.co.jp
1065,アソビュー株式会社,https://www.asoview.co.jp/contact,法人向け問い合わせ
1066,港区立みなと科学館,https://minato-kagaku.tokyo/contact/,メール koho@minato-kagaku.tokyo
1067,株式会社グランハウス一級建築士事務所,,※業者向け新規取引の電話はお断り、メール madoguchi@granhouse.co.jp を案内。フォームURL未確認
1068,株式会社Mizkan Holdings,https://faq.mizkan.co.jp/,お客様相談センター(FAQ・問い合わせ)
1069,株式会社カタグルマ,https://katagrma.jp/contact/,※サイトはkatagrma.jp
1070,いい生活,https://www.e-seikatsu.info/ask/aboutinquiry/form.html,当社に関するお問い合わせフォーム
1071,イースト駅前クリニック,https://www.eastcl.com/inquiry/,TEL 0120-970-119
1072,東京理科大学,https://www.tus.ac.jp/access/inquiry/,部署別窓口案内。代表 03-3260-4271
1073,ジェイフロンティア株式会社,https://jfrontier.jp/contact/,
1074,株式会社Waqoo,https://waqoo.jp/contact/kakunin.php,TEL 0570-077-667
1075,ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/contact/corporation/,法人のお客様向け問い合わせ。一般は /toiawase/contact/
1076,一般社団法人日本婚活支援協会,https://konkatu.or.jp/contact/,メール info@konkatu.or.jp
1077,ソラーレ ホテルズ アンド リゾーツ株式会社,https://solarehotels.com/contact.php,
1078,株式会社バンタン,https://vantan.jp/inquiry/,企業向け窓口 https://vantan.jp/companies/
1081,Enuma Japan 合同会社,,フォームURL確認できず。メール support@todoschool.com
1088,株式会社CA Tech Kids,https://techkidsschool.jp/company/,法人問い合わせメール info@ca-techkids.com
1089,株式会社新学社,https://www.sing.co.jp/inquiry/form.html,会社案内窓口 /corp/contact/
1091,Loohcs株式会社,https://loohcs.co.jp/company/contact/,
1092,株式会社iGO(アクティメソッド),,フォームURL確認できず。メール info@igo-inc.jp / TEL 0120-559-165
1094,株式会社ワオ・コーポレーション,https://www.wao-corp.com/contact/business/,事業・サービスに関するお問い合わせ
1096,株式会社Casanel(合格者編入塾),https://hennyu-go-kaku.com/,トップからお問い合わせへ誘導。専用フォームURL未確認
1098,株式会社ウィザス,https://www.with-us.co.jp/customer/,IR・その他は /irinfo/contact/input
1099,株式会社水曜日,,フォーム特定できず(aoisuisen.comの情報が検索に出ず)
1107,株式会社メイツ(個別指導塾WAYS),,フォームURL確認できず。メール info@ways-sch.jp / TEL 0120-913-938。企業サイトは mates-edu.co.jp
1108,浜学園グループ,https://www.hamagakuen.co.jp/inquiry/,お問い合わせ・資料請求
1114,学校法人大原学園,https://www.o-hara.ac.jp/senmon/contact/,専門学校窓口。西日本フォーム等複数あり
1120,学校法人郁文館夢学園,https://www.ikubunkan.ed.jp/contact/,メール info@ikubunkan.ed.jp
1122,日ナレ高等学院,,専用フォームURL確認できず(日ナレ本体は nichinare.co.jp/contact/)
1124,CTIS(キャピタル東京インターナショナルスクール),https://www.capitaltokyo.com/admissions/inquiries,メール info@capitaltokyo.com
1126,株式会社プログリット,https://business.progrit.co.jp/businessform/,法人お問い合わせフォーム。一般は about.progrit.co.jp/contact
1127,株式会社Knocknote,,フォームURL確認できず。メール info@knocknote.jp / TEL 03-6709-8725
1129,一般社団法人 光JSみらい,https://hikari-js.co.jp/contact/,メール toiawase@hikarijs-mirai.org
1130,リンクアカデミー,https://www.link-academy.co.jp/corporate/,法人研修は linkacademy-business.com
1131,株式会社EduLab,,フォームURL確認できず。メール contact@edulab-inc.com / TEL 03-6897-3855
1132,一般社団法人 日本ワーキング・ホリデー協会,https://www.jawhm.or.jp/office/otoiawase/?p=com,企業・団体向け TEL 050-3355-7148 / メール info@jawhm.or.jp
1133,NASEF JAPAN,https://nasef.jp/contact/,メール info@nasef.jp
1134,トレノケート株式会社,https://www.trainocate.co.jp/gkinfo/form.aspx,※電話窓口停止・フォームのみ
1136,ラフ株式会社,https://laughinc.co.jp/contact/,メール info@laughinc.co.jp
1135,一般社団法人 SmiRing Ryugaku,,専用フォーム見つからず(問い合わせはInstagram DM/LINE。studio.siteは停止中)
1137,株式会社学びエイド,https://www.manabi-aid.jp/service/contact,法人窓口 corp.manabi-aid.jp/contact/。メール support@manabi-aid.jp
1138,株式会社ベストティーチャー,https://www.best-teacher-inc.com/school/inquiry,法人・学校向け。営業メール sales@best-teacher-inc.com
1139,株式会社レビックグローバル,https://www.revicglobal.com/contact,メール po-accountsales@revicglobal.com
1140,GISPA(グローバル共生社会推進機構),,フォームURL確認できず。TEL 042-401-0158
1141,相模女子大学 国際コミュニケーション学科,https://kokusai.sagamiwu.jp/contact/,入試 0120-816-332
1142,一般財団法人 国際ビジネスコミュニケーション協会(IIBC),https://www.iibc-global.org/toeic/corpo/inquiry.html,団体担当者向け。一般TOEICは /toeic/inquiry.html
1143,スクールウィズ,https://corp.schoolwith.me/contact,TEL 03-4500-8346
1144,NPO法人DAREDEMO HERO,https://daredemohero.com/contact/,メール info@daredemohero.com
1145,関西外国語大学,https://www.kansaigaidai.ac.jp/inquiry/,入試 072-805-2850
1146,KIYOラーニング株式会社,https://www.kiyo-learning.com/contact/,TEL 03-6434-5886
1147,ビズメイツ,https://www.bizmates.jp/inquiry-corp/list/,法人のお客様向け問い合わせ
1148,公立大学法人島根県立大学,https://www.u-shimane.ac.jp/utilities/inquiry.html,メール kikaku@u-shimane.ac.jp
1150,株式会社アクセントエース,,フォームURL確認できず(accentace.co.jp。韓国語スクールK-PRO運営)
1151,株式会社児童英語研究所(パルキッズ),,フォームURL確認できず。メール inq@palkids.co.jp / TEL 0120-635-080
1152,一般社団法人愛玩動物健康管理協会,https://caha.or.jp/corporation/,※営業電話お断りの記載あり。メール inquiry@caha.or.jp
1153,学校法人 清水ヶ丘学園,https://www.shimizugaoka.ed.jp/お問い合わせ/,清水ヶ丘高等学校のお問い合わせ
1154,CBTS(CBT-Solutions),https://cbt-s.com/contact.html,受験者向けは hw.cbt-s.info/inquiry/
1155,Laurus International School of Science,https://www.laurus-school.com/inquire,
1156,株式会社建築資料研究社(日建学院),https://www.ksknet.co.jp/utility/inquiry.aspx,日建学院向けは /nikken/inquiry/。TEL 0120-243-229
1158,天草市地域振興部地域政策課,https://www.city.amakusa.kumamoto.jp/dynamic/entry/pub/default.aspx?c_id=28,各課お問い合わせ一覧(部署別フォーム)
1159,90株式会社(90 English),https://90english.com/company#contact,TEL 070-8404-2119
1160,NPO法人スマイリーフラワーズ,https://smileyflowers.org/contact.html,メール info@smileyflowers.net / TEL 092-791-4360
1161,佐野学園(神田外語),https://www.kandagaigo.ac.jp/inquiry/,メール www@kandagaigo.ac.jp
1162,一般社団法人全国農協観光協会,https://www.znk.or.jp/contact/form.html,TEL 03-5297-0321
1163,タイガーモブ株式会社,https://www.tigermov.com/contact/,法人向け /business/。メール info@tigermov.com
1165,ベルリッツ・ジャパン株式会社,https://www.berlitz.com/ja-jp/corporations/inquiry,企業向け問い合わせ。一般は /ja-jp/contact-us
1166,特定非営利活動法人ほっぺ,https://hoppe-npo.com/contact/,三木市の子育て支援NPO(同名の別NPOに注意)
1167,一般社団法人 人間力認定協会,https://ninkyou.jp/contact/,メール official-hpca@ninkyou.jp
1168,特定非営利活動法人青少年科学技術振興会(FIRST Japan),https://firstjapan.jp/,メール info@firstjapan.jp / TEL 045-479-3327。フォームは別ドメイン firstjapan.co.jp/contact
1169,特定非営利活動法人そらべあ基金,https://www.solarbear.jp/contact/,メール info@solarbear.jp
1170,株式会社コドモン,https://www.codmon.com/inquiry/,新規導入向け。企業窓口 codmon.co.jp/contact/。メール inquiry@codmon.com
1171,一般社団法人OneDaySchool,https://www.one-day-school.org/,トップからお問い合わせへ。メール onedayscool0520@gmail.com
1172,学校法人新渡戸文化学園,https://nitobebunka.ac.jp/contact/,TEL 03-3381-0196
1173,一般社団法人カジュアルコーチング,,フォーム特定できず(casual-coaching.comの情報が検索に出ず)
1174,学校法人 河合塾,https://www.kawaijuku.jp/inquiry.html,
1175,PAPAMO株式会社,https://papamo.net/official/contact/,メール info@papamo.net
1176,株式会社LITALICO,https://litalico.co.jp/contact/,事業別窓口あり(works.litalico.jp/contact/等)
1177,JR東日本スタートアップ株式会社,,フォームURL確認できず。メール info@jrestartup.co.jp
1178,株式会社グローバルフットボールマネジメント,https://frmjapan.com/,メール info@frmjapan.com / TEL 0120-059-669。専用フォームURL未確認
1179,セイハネットワーク,https://www.seiha.com/company/contact,TEL 092-263-4201
1180,株式会社こうゆう(花まる学習会),https://www.hanamarugroup.jp/contact.html,部門別フォームあり
1181,株式会社ビジョンゲート,https://visiongate.co.jp/clie/,TEL 03-5422-7503
1182,EQWEL(イクウェル),https://www.eqwel.jp/Inquiry/,TEL 0120-415-707
1183,医療法人仁徳会アポロニア歯科クリニック,,フォームURL確認できず(予約は初診WEB予約 /reserve/)。TEL 088-872-1182
1184,株式会社LOCOK,,フォームURL確認できず(locok.jp)。Ninja Nine窓口 0120-326-626
1185,タンキュー(tanQ株式会社),https://www.tanq.co.jp/contact,メール info@tanq.co.jp
1187,株式会社アルティキッズジャパン,,フォームURL確認できず。メール dendroview@gmail.com / TEL 070-8422-9073
1188,株式会社こどもとくらし,https://ts-kodomoen.jp/contact,メール takanawa-info@ts-kodomoen.jp
1189,CHEERS株式会社,,フォームURL確認できず。メール info@100will100cheer.com / TEL 03-6451-1505
1190,キャリアフィールド株式会社,https://www.career-f.com/contact/,TEL 03-5468-8333
1192,特定非営利活動法人放課後NPOアフタースクール,https://npoafterschool.org/contact/,企業向け /corp/、自治体向け /lg/。TEL 03-6721-5043
1193,一般社団法人SaveOurKids,,フォームURL確認できず(saveourkids.jp。safekidsjapan.org等は別団体)
1194,株式会社KINCARN,,フォームURL確認できず。メール info@kincarn.com / TEL 044-233-3970
1195,株式会社神戸ポートピアホテル,https://www.portopia.co.jp/inquiry/,企画部直通 078-303-5223
1196,株式会社エデューレエルシーエー,https://lca.edure.co.jp/contact,TEL 042-771-6131
1197,NPO法人キッズフリマ,https://kids-fm.jp/inquiry/,開催希望は /contact/。TEL 03-3384-0675
1198,株式会社キッズコーポレーション,https://www.kids-21.co.jp/contact/,メール toiawase@kids-21.co.jp
1199,株式会社Griteen,https://griteen.com/contact,
1200,株式会社キカガク,https://www.kikagaku.co.jp/contact/business,法人向け。個人向けは /contact/personal。メール support@kikagaku.co.jp
1201,モンテッソーリ親子教室 おやこびより,,専用フォームURL確認できず(申込はLINE https://lin.ee/zH4caqD)
314,ヤマサちくわ株式会社,https://yamasa.chikuwa.co.jp/info/toiawase.php,TEL 0532-52-7139
570,株式会社オーイズミピュアルズ(MyLOHAS),https://www.mylohas.net/contact/,法人窓口 TEL 046-211-9003 / 個人 ec@senzu.info
678,株式会社ナインブロック(大阪王将公式通販),https://www.eat-and.jp/foods/customer/,※運営はイートアンドフーズ系。通販 o-ohsho.jp
757,株式会社ライフドリンクカンパニー,https://www.ld-company.com/contact/,
813,株式会社伝食(甲羅組),,フォームURL確認できず。メール kani@kouragumi.com / TEL 0770-22-6445。企業サイト denshoku-corp.jp
944,どきみん合同会社,,フォーム・自社サイト見つからず(Yahoo店のみ)
956,北海道サービス株式会社(Good Luck便),https://clean-hokkaido.com/contact/,EC窓口メール good-luck-support-rakuten@hokkaido-service.com / TEL 0120-314771
1204,NPO法人ぎんがむら,https://www.gingamura.jp/,トップからお問い合わせ。TEL 045-331-0468
1205,オクシイ株式会社,https://auxy.co.jp/contact/,TEL 03-6431-0941
1206,株式会社とやまかいご,https://www.toyamakaigo.net/,トップからお問い合わせ。専用フォームURL未確認。TEL 090-3581-6735
1207,株式会社ポピンズエデュケア,https://www.poppins.co.jp/educare/contact/corporation/,法人向け。個人・入園は /contact/personal/
1208,エフィラグループ株式会社,https://efila.co.jp/contact/,TEL 045-594-8967
1209,福祉クラブ生活協同組合,,フォームURL確認できず(fukushi-club.net)。本部TEL 045-547-1400
1210,株式会社ソレイユキッズクラブ,,フォームURL確認できず。メール info@soleil-kids-club.jp
1211,特定非営利活動法人おれんじハウス,https://orangebaby.org/,トップからお問い合わせ。TEL 045-534-3706
1212,キッズラボ株式会社,https://kids-lab.co.jp/contact/,入園メール admission@kids-lab.co.jp
1213,Baycess株式会社,,フォームURL確認できず。メール recruit@baycess.com / TEL 045-228-8043
1214,株式会社フォーユー,https://foryou-group.co.jp/contact/,※同名複数社あり。WAM該当社の特定は要確認
1215,株式会社CosmoBridge,,フォームURL確認できず。メール info@cgkis.com / TEL 045-222-6467
1216,株式会社クロベコーポレーション,,フォームURL確認できず(教育・保育事業。yilh.net等)。園TEL 045-534-8930
1217,株式会社理究,https://www.riq.co.jp/contact,学童事業は riq-gakudou.com/inquiry_form/。TEL 045-461-4149
1218,特定非営利活動法人ムーミンの会,https://moomin-care.org/contact,医療的ケア児保育のNPO
1219,学校法人聖トマ学園,,法人本部フォームURL確認できず。TEL 045-681-5795(各幼稚園に個別窓口あり)
1220,社会福祉法人桑の実会,,法人本部フォームURL確認できず(kuwanomikai.jp)。本部TEL 042-921-1160
1221,社会福祉法人みどりのこみち会,https://kasumidai.com/contact.html,霞台保育園のお問い合わせ。TEL 045-331-0877
1222,社会福祉法人神奈川県匡済会,https://kyosaikai.jp/contact/,
1223,合同会社TAISETSU,https://www.taisetsu-hoikuen.jp/,たいせつ保育園。専用フォームURL未確認
1224,株式会社こどもの森,,法人フォームURL確認できず。TEL 042-571-4536 / メール shinsotsu@kodomonomori.co.jp
1225,学校法人初音丘学園,,法人フォームURL確認できず。TEL 045-331-3377 / メール hatsune-jim@hatsunegaoka.ed.jp
1226,株式会社グローバルキッズ,https://www.gkids.co.jp/,トップからお問い合わせ。TEL 03-3239-7088
1227,中央出版株式会社,https://www.chuoh.co.jp/contact/,メール support@chuoh.co.jp / TEL 0120-16-0377
1228,株式会社LaLaLand,https://la-la-land.co.jp/contact/,TEL 046-884-9367
1229,社会福祉法人神奈川労働福祉協会,https://www.k-roufukukyo.jp/,トップからお問い合わせフォーム。専用URL未確認
1230,社会福祉法人遊育会,,法人フォームURL確認できず(マーマ保育園運営)。各園TELへ
1231,ライクキッズ株式会社,https://www.like-kd.co.jp/inquiry/index.html,TEL 03-6431-9966
1232,株式会社ナーサリープラットフォーム,,法人フォームURL確認できず。TEL 050-3669-8332(リビングプラットフォーム系)
1233,株式会社コイシカワ,https://koishikawa.co.jp/contact/,TEL 042-342-0331
1234,株式会社NouRiSH,,フォームURL確認できず(横浜市西区の保育園運営。同名他社に注意)
1235,社会福祉法人そだちの杜,,法人フォームURL確認できず。本部TEL 045-620-8321
1236,一般社団法人KID-G,https://www.kid-g.com/,トップからお問い合わせ。専用URL未確認
1237,株式会社アンティー,https://www.aunty-i.com/contact.html,横浜市港北区の保育・ベビーシッター
138,TENTIAL(株式会社TENTIAL),https://tential.jp/contact,法人サイトは corp.tential.jp/contact/
140,TIRE SHOP 4U(株式会社EXIZZLE-LINE),https://tireshop4u.jp/html/email.html,メール 4u-r1@exizzle-line.co.jp
152,UCHINO 楽天市場店(内野株式会社),https://en.uchino.co.jp/contact/,自社EC uchino.shop
203,オリヒロ株式会社,https://health.orihiro.com/contact/,健康食品事業部フォーム
223,コクヨステーショナリー楽天市場店,https://www.kokuyo.co.jp/support/stationery.html,EC窓口 kokuyo-shop.jp/sc/u_page/info.aspx
259,テイジン公式 楽天市場店(帝人),https://www.teijin.co.jp/form/,※楽天店の運営元要確認(texet)
273,ニトリ,https://www.nitori-net.jp/ec/input-inquiry/,お客様相談室 0120-014-210
919,無印良品(良品計画),https://contact.muji.com/jp/ja/,法人窓口 contact.ryohin-keikaku.jp
325,リビングート 楽天市場店(クラスフィル株式会社),https://www.rakuten.ne.jp/gold/livingut/form.html,TEL 050-3000-9639
343,家具・インテリアのベルメゾン(千趣会),https://www.senshukai.co.jp/main/top/contact/index.html,法人窓口 /contact/corp.html。TEL 0120-11-1000
284,パンジー楽天市場店(株式会社パンジー),https://www.pansy.co.jp/shop/inquiry/index.php,法人 0120-302-728
323,リゲッタ公式ショップ(株式会社リゲッタ),https://www.regeta.co.jp/contact/private.html,メール support@regeta.co.jp / TEL 0120-212-324
348,楽天24(楽天グループ),https://24.rakuten.co.jp/support/,チャット/FAQ窓口
270,ドラッグストアザグザグ通販(株式会社ザグザグ),https://www.zagzag.co.jp/contact/,メール z-netshop@zagzag.co.jp
277,ぱーそなるたのめーる(大塚商会),https://www.tanomail.com/dyn/bf/contact/index.html,TEL 0120-326-270
308,マツヨシ 楽天市場店(松吉医科器械),https://www.matsuyoshi.co.jp/contact/,法人 corp.matsuyoshi.co.jp/contact/。TEL 03-5816-8800
164,アースダンボール楽天市場店(株式会社アースダンボール),https://www.bestcarton.com/inquiry/,TEL 048-728-9202
199,おいせさん公式ショップ,https://www.oisesan.shop/,専用フォームURL未確認。外宮本店TEL 0596-65-6103。公式 oisesan.co.jp
184,インテリアショップ roomy(株式会社D-REALIZE),https://roomy-official.shop/pages/contact,メール roomy-spfy@d-realize.net / TEL 075-231-6040
189,エア・リゾーム インテリア(株式会社エア・リゾーム),https://www.air-r.jp/,メール order@air-rhizome.co.jp / TEL 06-6713-6366
190,エクレボ 楽天市場店(有限会社ジョイン・ケイ企画),,独立フォームURL確認できず(問い合わせはLINE)。企業サイト exrevo.jp
225,コモドカーサ楽天市場店(株式会社サシケイ),,独立フォームなし(楽天メッセージ経由)。愛知県瀬戸市の家具店
886,西川など寝具専門店こだわり安眠館,,独立フォームURL確認できず(楽天メッセージ経由)
315,ヤマソロ 楽天市場店(株式会社ヤマソロ),,独立フォームURL確認できず。メール yahoo-support@office-chair.jp / TEL 0794-64-8877。公式 yamasoro.com
